华为投资控股有限公司	251	中铁第四勘察设计院集团有限公司
240	纳思达股份有限公司	490	高新兴科技集团股份有限公司
241	江西济民可信集团有限公司	491	珠海市杰理科技股份有限公司
242	中国国际海运集装箱（集团）股份有限公司	492	上海小度技术有限公司
243	中国中信有限公司	493	广东东鹏控股股份有限公司
244	东旭光电投资有限公司	494	鸿合科技股份有限公司
245	鲁南制药集团股份有限公司	495	深南电路股份有限公司
246	北京车和家信息技术有限公司	496	中铁电气化局集团有限公司
247	国双控股（北京）有限公司	497	北京爱康宜诚医疗器材有限公司
248	上海医药集团股份有限公司	498	中铁十九局集团有限公司
249	郑州宇通集团有限公司	499	晶澳太阳能有限公司
250	康佳集团股份有限公司	500	云从科技集团股份有限公司
2023全国科技创新高校50强名单
排名	公司名称	排名	公司名称
1	浙江大学	26	南京航空航天大学
2	清华大学	27	中国矿业大学
3	上海交通大学	28	江苏大学
4	北京大学	29	江南大学
5	西安交通大学	30	武汉理工大学
6	东南大学	31	重庆大学
7	山东大学	32	西北工业大学
8	中南大学	33	西南交通大学
9	华南理工大学	34	浙江工业大学
10	华中科技大学	35	北京邮电大学
11	四川大学	36	河海大学
12	天津大学	37	西安电子科技大学
13	哈尔滨工业大学	38	北京科技大学
14	武汉大学	39	合肥工业大学
15	南京大学	40	中国科学技术大学
16	吉林大学	41	南京理工大学
17	中山大学	42	苏州大学
18	同济大学	43	湖南大学
19	北京航空航天大学	44	北京交通大学
20	电子科技大学	45	广东工业大学
21	大连理工大学	46	北京工业大学
22	北京理工大学	47	华北电力大学
23	东北大学	48	中国农业大学
24	郑州大学	49	福州大学
25	复旦大学	50	西南石油大学
2023全国科技创新研究机构50强名单
排名	研究机构	排名	研究机构
1	中国电力科学研究院	26	中国科学院计算技术研究所
2	中国科学院大连化学物理研究所	27	中国科学院武汉岩土力学研究所
3	中国科学院地理科学与资源研究所	28	中国空间技术研究院
4	中国水利水电科学研究院	29	中国科学院上海微系统与信息技术研究所
5	中国科学院长春光学精密机械与物理研究所	30	中国科学院上海硅酸盐研究所
6	深圳先进技术研究院	31	中国科学院上海药物研究所
7	西安热工研究院	32	水利部交通运输部国家能源局南京水利科学研究院
8	中国科学院过程工程研究所	33	中国科学院西安光学精密机械研究所
9	中国科学院金属研究所	34	中国科学院福建物质结构研究所
10	中国科学院地质与地球物理研究所	35	中国科学院长春应用化学研究所
11	中国铁道科学研究院	36	中国科学院沈阳自动化研究所
12	中国科学院合肥物质科学研究院	37	中国科学院力学研究所
13	中国科学院自动化研究所	38	中国科学院理化技术研究所
14	中国计量科学研究院	39	中国科学院信息工程研究所
15	中国科学院宁波材料技术与工程研究所	40	中国科学院上海光学精密机械研究所
16	中国科学院微电子研究所	41	中国科学院遗传与发育生物学研究所
17	中国环境科学研究院	42	中国科学院工程热物理研究所
18	之江实验室	43	中国科学院西北生态环境资源研究院
19	中国原子能科学研究院	44	中国人民解放军军事科学院军事医学研究院
20	中国科学院兰州化学物理研究所	45	中国科学院苏州纳米技术与纳米仿生研究所
21	中国科学院生态环境研究中心	46	中国信息通信研究院
22	中国科学院空天信息创新研究院	47	中国科学院电工研究所
23	中国科学院半导体研究所	48	中国北方车辆研究所
24	中国科学院化学研究所	49	中国科学院广州能源研究所
25	中国运载火箭技术研究院	50	中国科学院声学研究所
